examen	archivo	n	tema	ubicacion	enunciado_completo_extraido
Java.pdf	java/Java.pdf	85	Herramientas/general	pág 130	¿Cuál es el comando en Windows para listar el contenido de un directorio/carpeta? a. ls b. list c. mv d. dir e. show En Windows , el comando para listar el contenido de un directorio es: ● dir → muestra archivos y subcarpetas del directorio actual. Las otras opciones: ● ls → comando de Linux/macOS. ● list , show → no existen en CMD. ● mv → se usa para mover o renombrar archivos en Linux/Windows PowerShell, no para listar.
Java.pdf	java/Java.pdf	86	Java	pág 130	What are the modifiers that a nested class can have? a. public b. ﬁnal c. protected d. abstract e. static f. private g. strictfp h. All the options are correct. En Java, una nested class (clase anidada) puede tener varios modiﬁcadores dependiendo de su tipo: 1. Member class (nested non-static class) : ○ public , protected , private , abstract , final , strictfp 2. Static nested class : ○ public , protected , private , abstract , final , strictfp , static Por lo tanto, todas las opciones listadas son válidas para algún tipo de nested class .
Java.pdf	java/Java.pdf	87	Java	pág 131	import java.util.*; public class ComparableTest { public static void main(String[] args) { List<Item> items = new ArrayList<>(); items.add(new Item("Apple", 3)); items.add(new Item("Banana", 2)); items.add(new Item("Cherry", 1)); Collections.sort(items); for (Item item : items) { System.out.println(item.getName() + ": " + item.getPrice()); } } } class Item implements Comparable<Item> { private String name; private int price; public Item(String name, int price) { this.name = name; this.price = price; } public String getName() { return name; } public int getPrice() { return price; } @Override public int compareTo(Item other) { return this.name.compareTo(other.name); } } Apple: 3 Banana: 2 Cherry: 1 Compilation error Apple: 3 Cherry: 1 Banana: 2 Cherry: 1 Banana: 2 Apple: 3 Analicemos el código paso a paso 👇 Código clave Collections.sort(items); ● La lista items contiene objetos I
Java.pdf	java/Java.pdf	88	Java	pág 135	What will be the output of the following code snippet? class A { public A() { System.out.println("A's constructor"); } } class B extends A { public B() { super(); System.out.println("B's constructor"); } } class C extends B { public C() { System.out.println("C's constructor"); } } public class Test { public static void main(String[] args) { C c = new C(); } } A's constructor B's constructor C's constructor C's constructor A's constructor B's constructor A's constructor C's constructor B's constructor What will be the output of the following code snippet? Analicemos el flujo de construcción de objetos en Java paso a paso 👇 Clases: class A { public A() { System.out.println("A's constructor"); } } class B extends A { public B() { super(); // Llama al constructor de A System.out.println("B's constructor"); } } class C extends B { public C() { System.out.println("C's constructor"); } }
Java.pdf	java/Java.pdf	89	Java	pág 138	What will be the output of the following code snippet? public class StringConcatenationTest { public static void main(String[] args) { String str1 = "Hello"; String str2 = "World"; String str3 = str1 + " " + str2; String str4 = str1.concat(" ").concat(str2); String str5 = new StringBuilder().append(str1).append(" ").append(str2).toString(); System.out.print(str3.equals(str4) + " "); System.out.print(str4.equals(str5) + " "); System.out.print((str3 == str4) + " "); System.out.println(str4 == str5); } } a. true true true true b. Compilation fails. c. true true false false d. false false false false e. false true false true f. false false true true Analicemos el código paso a paso 👇 String str1 = "Hello"; String str2 = "World"; String str3 = str1 + " " + str2; // concatenación con + String str4 = str1.concat(" ").concat(str2); // concatenación con concat() String str5 = new StringBui
Java.pdf	java/Java.pdf	90	Java	pág 141	import java.sql.Connection; import java.sql.DriverManager; import java.sql.ResultSet; import java.sql.SQLException; import java.sql.Statement; public class TestJDBC { public static void main(String[] args) { String url = "jdbc:mysql://localhost:3306/testdb"; String user = "testuser"; String password = "testpassword"; try { Connection conn = DriverManager.getConnection(url, user, password); Statement stmt = conn.createStatement(); ResultSet rs = stmt.executeQuery("SELECT name FROM users WHERE id = 1"); while (rs.next()) { System.out.println(rs.getString("name")); } } catch (SQLException e) { e.printStackTrace(); } } } a. It will throw a NullPointerException. b. It will print the name of the user with id 1. c. It will print "Connection established successfully." d. It will throw a SQLException. Analicemos el código paso a paso 👇 ● El código usa JDBC para conectarse a una base de dato
Java.pdf	java/Java.pdf	91	APX	pág 143	¿Cuáles de las siguientes son herramientas necesarias para desarrollar componentes APX? a. Git b. Docker c. Artifactory d. Maven e. JDK
Java.pdf	java/Java.pdf	92	Java	pág 144	public class Test { public void op2(String s) { s.toUpperCase(); } public void op3() { String msg = new String("message"); op2(msg); System.out.println(msg); } public static void main(String[] args) { new Test().op3(); } } a. MESSAGE b. An exception is thrown at runtime. c. Compilation fails. d. message e. null Analicemos el código paso a paso 👇 public void op2(String s) { s.toUpperCase(); } ● String en Java es inmutable . ● s.toUpperCase() devuelve un nuevo String , pero no modifica s en sí. ● Como no se asigna el resultado, s sigue apuntando al mismo valor original. public void op3() { String msg = new String("message"); op2(msg); System.out.println(msg); } ● msg se pasa a op2 . ● op2 llama a s.toUpperCase() pero no cambia msg . ● Por lo tanto, System.out.println(msg); imprime el valor original : "message" .
Java.pdf	java/Java.pdf	93	Java	pág 146	¿Cuál de las siguientes afirmaciones confirma correctamente los paquetes que usa el siguiente código? import java.sql.Connection; import java.sql.DriverManager; import java.sql.ResultSet; import java.sql.SQLException; import java.sql.Statement; public class TestJDBC { public static void main(String[] args) { String url = "jdbc:mysql://localhost:3306/mydb"; String user = "user"; String password = "password"; Connection conn = null; Statement stmt = null; ResultSet rs = null; try { conn = DriverManager.getConnection(url, user, password); stmt = conn.createStatement(); rs = stmt.executeQuery("SELECT name FROM users WHERE id = 1"); while (rs.next()) { System.out.println(rs.getString("name")); } } catch (SQLException e) { e.printStackTrace(); } finally { // Close resources here } } } a. rs.close(); stmt.close(); conn.close(); b. if (rs != null) rs.close(); if (conn != null) conn.close
Java.pdf	java/Java.pdf	94	Java	pág 149	public class Test implements Runnable { private int i; @Override public void run() { if (i % 10 == 0) { i++; } for (int x = 0; x < 10; x++, i++) { if (x == 4) { Thread.yield(); } System.out.println(i + " "); } } public static void main(String[] args) { Test n = new Test(); for (int x = 0; x < 100; x++) { new Thread(n).start(); } } } ¿Cuál es la respuesta verdadera? O a. La salida nunca puede contener el valor 297. O b. La salida nunca puede contener el valor 1020. O c. La salida nunca puede contener el valor 1130. O d. La salida nunca puede contener el valor 30. Analicemos el código paso a paso y cómo funciona la concurrencia en Java 👇 Código clave public class Test implements Runnable { private int i; @Override public void run() { if (i % 10 == 0) { i++; } for (int x = 0; x < 10; x++, i++) { if (x == 4) { Thread.yield(); } System.out.println(i + " "); } } public static void main(
Java.pdf	java/Java.pdf	95	Java	pág 153	public class OverloadedStaticMethods { public static void display() { System.out.println("Display with no arguments"); } public static void display(int num) { System.out.println("Display with integer: " + num); } public static void display(String str) { System.out.println("Display with string: " + str); } public static void main(String[] args) { OverloadedStaticMethods.display(); OverloadedStaticMethods.display(5); OverloadedStaticMethods.display("Hello"); } } a. Display with no arguments Display with string: Display with integer: Hello b. Error en compilación c. Error en tiempo de ejecución d. Display with no arguments Display with integer: 5 Display with string: Hello a b c d Vamos a analizar el código: public class OverloadedStaticMethods { public static void display() { System.out.println("Display with no arguments"); } public static void display(int num) { System.out.println(
Java.pdf	java/Java.pdf	96	Herramientas/general	pág 156	¿Cuál de las siguientes opciones se utiliza principalmente para la integración continua en el desarrollo del sofware? a. Jenkins b. Artifactory c. Jira d. SonarQube e. Bitbucket La pregunta es: ¿Cuál de las siguientes opciones se utiliza principalmente para la integración continua en el desarrollo del software? Análisis de cada opción: ● a. Jenkins →
Java.pdf	java/Java.pdf	97	Java	pág 158	import java.util.ArrayList; import java.util.List; public class Test { public static void main(String[] args) { List<String> list = new ArrayList<>(); list.add("Apple"); list.add("Banana"); list.add("Cherry"); printList(list); System.out.println("Size: " + list.size()); System.out.println("Contains 'Banana': " + list.contains("Banana")); System.out.println("Element at index 1: " + list.get(1)); } private static void printList(List<String> list) { for (String element : list) { System.out.println(element); } } } a. Apple Banana Cherry Size: 3 Contains 'Banana': true Element at index 1: Banana b. Apple Banana Size: 2 Contains 'Banana': false Element at index 1: Banana c. Apple Banana Size: 2 Contains 'Banana': true Element at index 1: Banana d. Apple Banana Cherry Size: 3 Contains 'Banana': true Element at index 1: Cherry Vamos a analizar el código paso a paso: List<String> list = new
Java.pdf	java/Java.pdf	98	APX	pág 160	Todo el acceso a los datos debe estar encapsulado en una transacción para facilitar la reutilización y control de acceso Seleccione una: verdadero Falso
Java.pdf	java/Java.pdf	99	Java	pág 161	Given: interface IFun { int calculate( int i1, int i2); } public class Test { public static void main(String[] args) { IFun f = (i1, i2) -> i1 + i2; // line 1 int i1=1, i2 = 2; // line 2 IFun g = (i1, i2) -> i1 * i2; // line 3 System. out .println(g.calculate(i1, ii)); // line 4 } } What will be the output of the above code? a. Compilation fails on line 4. b. Compilation fails on line 2. c. 2 d. Compilation fails on line 1. e. Compilation fails on line 3. f. 3 Let’s analyze step by step: interface IFun { int calculate(int i1, int i2); } public class Test { public static void main(String[] args) { IFun f = (i1, i2) -> i1 + i2; // line 1
Java.pdf	java/Java.pdf	100	Herramientas/general	pág 163	¿Cuál de las siguientes ramas en Gitflow se utiliza para aplicar correcciones rápidas directamente en producción? a. master b. feature c. hotﬁx d. release e. develop En Gitﬂow , la rama que se utiliza para aplicar correcciones rápidas directamente en producción es:
Java.pdf	java/Java.pdf	101	Java	pág 164	import java.util.Arrays; import java.util.List; import java.util.stream.Collectors; public class StreamTest { public static void main(String[] args) { List<String> items = Arrays.asList("apple", "banana", "cherry", "date"); List<String> result = items.stream() .filter(s -> s.startsWith("a")) .collect(Collectors.toList()); System.out.println(result); } } a. [apple, banana] b. [banana, cherry] c. [apple] d. [apple, cherry] El programa usa Streams para ﬁltrar los elementos de la lista que empiezan con "a" . Lista original: ["apple", "banana", "cherry", "date"] Filtro aplicado: s -> s.startsWith("a") 👉 Solo "apple" cumple la condición. Por lo tanto, la salida será:
Java.pdf	java/Java.pdf	102	Java	pág 165	class ABC { public String met() { return "snippet 1"; } } public class ABCD extends ABC { // Insert code here } Which line of code, when inserted at the commented line, causes the compiler to fail? a. public String met() { return "4"; } b. public char met(int i) { return '3';} c. public String met(int i) { return "5"; } d. public char met() { return '2'; } Veamos: La clase base: class ABC { public String met() { return "snippet 1"; } } En la subclase ABCD , cualquier método con el mismo nombre pero distinta ﬁrma se considera sobrecarga (overload) . Solo si tiene misma ﬁrma pero tipo de retorno incompatible, habrá error de compilación. Opciones: a. public String met() { return "4"; }
Java.pdf	java/Java.pdf	103	Java	pág 167	class CA { CA() { System.out.print("middle"); } CA(String s) { System.out.print(s); } } class CB extends CA { } public class Test { public static void main(String[] args) { new CA("message "); new CB(); System.out.print(" end"); } } What is the result? a. message middle end b. An exception is thrown at runtime. c. Compilation fails d. message end middle Vamos paso a paso 🚀 Código: class CA { CA() { System.out.print("middle"); } CA(String s) { System.out.print(s); } } class CB extends CA { } public class Test { public static void main(String[] args) { new CA("message "); new CB(); System.out.print(" end"); } } Análisis: 1. new CA("message "); ○ Llama al constructor CA(String s) . ○ Imprime message . 2. new CB(); ○ No tiene constructor deﬁnido → usa el constructor por defecto . ○ En Java, el constructor de una subclase llama implícitamente a super() . ○ Eso invoca CA() → imprime m
Java.pdf	java/Java.pdf	104	APX	pág 170	Una transacción APX es la unidad aplicativa que se ejecutará en APX Batch. Seleccione una: Verdadero Falso
Java.pdf	java/Java.pdf	105	Java	pág 170	¿Cuál es la función principal del JDK (Java Development Kit)? a. Permitir la edición de archivos JHTML y JCSS. b. Servir como un servidor web para aplicaciones Java. c. Proporcionar un entorno de ejecución para aplicaciones Java. d. Ofrecer herramientas necesarias para compilar, depurar y ejecutar aplicaciones Java. e. Ninguna opción es correcta. La función principal del JDK (Java Development Kit) es:
Java.pdf	java/Java.pdf	106	APX	pág 171	¿Cuál es el propósito del método setSeverity() en el manejo de una transacción APX? a. Validar los datos proporcionados por la transacción. b. Establecer la gravedad de la notiﬁcación generada por la transacción c. Determinar el tipo de transacción a ejecutar d. Conﬁgurar los parámetros de entrada de la transacción. El propósito del método setSeverity() en una transacción APX es:
Java.pdf	java/Java.pdf	107	Java	pág 172	import java.util.function.*; public class Test { public static void main(String[] args) { Predicate<String> p = (s) -> s.length() > 5; Function<String, Integer> f = String::length; Consumer<String> c = (s) -> System.out.println(s.toUpperCase()); Supplier<String> s = () -> "Hello, world!"; String testString = "functional"; System.out.println(p.test(testString)); System.out.println(f.apply(testString)); c.accept(testString); System.out.println(s.get()); } } What will be the output of the above code? a. false 9 FUNCTIONAL Hello, World! b. A runtime exception is thrown. c. Compilation fails. d. true 9 FUNCTIONAL Hello, World! e. true 10 FUNCTIONAL Hello, World! Vamos a analizar el código paso a paso: Código clave: Predicate<String> p = (s) -> s.length() > 5; Function<String, Integer> f = String::length; Consumer<String> c = (s) -> System.out.println(s.toUpperCase()); Supplier<String>
Java.pdf	java/Java.pdf	108	Java	pág 174	public class Test { public static void main(String[] args) { String a = "tic"; String b = "tac"; a.substring(0, 2); a.concat("toc"); System.out.println(a += "game" + b.toUpperCase()); } } What is the result? a. ticgameTAC b. titocTAC c. tictactoc d. ticgametac e. Compilation fails. Vamos a analizar el código paso a paso: String a = "tic"; String b = "tac"; a.substring(0, 2); // Se crea un nuevo String "ti" pero **no se asigna** → a sigue siendo "tic" a.concat("toc"); // Se crea un nuevo String "tictoc" pero **no se asigna** → a sigue siendo "tic" System.out.println(a += "game" + b.toUpperCase()); ● b.toUpperCase() → "TAC" ● "game" + b.toUpperCase() → "gameTAC" ● a += "gameTAC" → a = "ticgameTAC"
Java.pdf	java/Java.pdf	109	Java	pág 176	Which of the following packages in Java do not need to be explicitly imported in a Java program? a. java.net b. java.lang c. java.function d. java.util e. java.io f. javax.sql En Java, el paquete java.lang se importa automáticamente en todos los programas, por lo que no es necesario importarlo explícitamente . ● b. java.lang
Java.pdf	java/Java.pdf	110	Java	pág 177	Which of the following statements correctly describes an immutable object in Java? a. An immutable object must implement the Cloneable interface. b. Immutable objects cannot be created using the new keyword. c. Immutable objects can have setter methods to change their ﬁelds. d. An immutable object does not allow any changes to its state after it is created. e. An immutable object can have its ﬁelds modiﬁed after it is created. La descripción correcta de un objeto inmutable en Java es:
Java.pdf	java/Java.pdf	111	Java	pág 178	What will be the output of the following code snippet? public class EnumTest { enum Day { MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY } public static void main(String[] args) { for (Day day : Day.values()) { System.out.print(day + " "); } } } a. Compilation error. b. MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY c. MONDAY TUESDAY WEDNESDAY THURSDAY FRIDAY SATURDAY SUNDAY d. MONDAY TUESDAY WEDNESDAY THURSDAY FRIDAY SATURDAY El código deﬁne un enum Day con todos los días de la semana y luego recorre sus valores usando Day.values() . for (Day day : Day.values()) { System.out.print(day + " "); } ● Day.values() devuelve un array con todos los valores del enum. ● System.out.print(day + " ") imprime cada día seguido de un espacio. ● No hay comas ni errores de compilación. Salida: MONDAY TUESDAY WEDNESDAY THURSDAY FRIDAY SATURDAY SUNDAY Respuesta correct
Java.pdf	java/Java.pdf	112	Java	pág 179	enum Days { MONDAY, TUESDAY, WEDNESDAY, THURSDAY } public class Test { public static void main(String[] args) { int y = 1; Days d = Days.TUESDAY; switch (d) { case MONDAY: y++; case TUESDAY: y += 10; case WEDNESDAY: y += 100; case THURSDAY: y += 1000; } System.out.println(y); } } a. 11 b. 111 c. Compilation fails. d. An exception is thrown at runtime. e. 1111 En Java, cuando se usa un switch sobre un enum, cada case debe terminar con break para evitar el fall-through . Código: int y = 1; Days d = Days.TUESDAY; switch (d) { case MONDAY: y++; case TUESDAY: y += 10; case WEDNESDAY: y += 100; case THURSDAY: y += 1000; } System.out.println(y); Análisis: ● d = Days.TUESDAY ● Se ejecuta desde TUESDAY hasta el ﬁnal (porque no hay break ): 1. y += 10 → y = 11 2. y += 100 → y = 111 3. y += 1000 → y = 1111 Resultado ﬁnal: 1111
Java.pdf	java/Java.pdf	113	Java	pág 182	Cuando se asigna un byte a un carácter en Java, ¿cuál es el tipo de resultado? a. char b. int c. byte d. short e. No puedes asignar un byte a un carácter.
Java.pdf	java/Java.pdf	114	Java	pág 182	Dado: class Test { static void m(int a) { a += 10; } public static void main(String[] args) { int a = 20; m(a); Test.m(a); System.out.println(a); } } ¿Cuál es el resultado? a. 10 b. 40 c. 20 d. Compilation fails. e. An exception is throw at run time. f. 30 Analicemos paso a paso: class Test { static void m(int a) { a += 10; } public static void main(String[] args) { int a = 20; m(a); // Llama a m con a = 20 → dentro de m, a = 30, pero es **pasado por valor** Test.m(a); // Lo mismo, a sigue siendo 20 fuera del método System.out.println(a); } } ● En Java, los tipos primitivos se pasan por valor . ● Modiﬁcar a dentro del método m no afecta a a en main . Resultado ﬁnal: 20
Java.pdf	java/Java.pdf	115	Java	pág 184	abstract class Animal { void speak() { System.out.println("Animals make noise"); } public static void main(String[] args) { Animal animal = new Dog(); animal.speak(); } } class Dog extends Animal { protected void speak() { System.out.println("The Dog barks"); } } public class Test { public static void main(String... strings) { Animal.main(strings); } } a. The Dog barks b. Compilation fails. c. Animals make noise d. A runtime exception is thrown. Analicemos el código paso a paso: abstract class Animal { void speak() { System.out.println("Animals make noise"); } public static void main(String[] args) { Animal animal = new Dog(); animal.speak(); } } class Dog extends Animal { protected void speak() { System.out.println("The Dog barks"); } } 1. La clase Dog hereda de Animal . 2. Animal.speak() tiene default (package-private) . 3. Dog.speak() intenta sobrescribir speak() con protected
Java.pdf	java/Java.pdf	116	Java	pág 187	public class Test { public static void main(String[] args) { String str = "Hello"; modify(str); System.out.println(str) StringBuffer sbf = new StringBuffer("Hello"); modify(sbf); System.out.println(sbf.replace(2, sbf.length(), "o")); StringBuilder sbd = new StringBuilder("Hello"); modify(sbd); System.out.println(sbd.reverse()); } private static void modifyString(String s) { s = s.concat(" World"); } private static void modifyStringBuffer(StringBuffer sb) { sb.append(" World"); } private static void modifyStringBuilder(StringBuilder sb) { sb.append(" World"); } } a. Hello Hello World Hello World b. Hello Hello Hello c. Hello Heo dlroW olleH d. Helio World Heo Hello World e. Hello Heo World Hello Vamos a analizar el código paso a paso. Primero, observemos que los métodos llamados en main son: modify(str); modify(sbf); modify(sbd); Pero los métodos deﬁnidos son modifyString , modifyS
Java.pdf	java/Java.pdf	117	Java	pág 189	¿Cuál es la salida del siguiente código? public class Test { public void run() { try { System.out.print("Running "); throw new Exception(); } catch (Exception e) { System.err.print("Problem"); } finally { System.out.print("Stopping"); } } public static void main(String[] args) { new Test().run(); } } a. Running Stopping Problem b. Running Problem Stopping c. Running Problem d. La compilación falla e. Problem Stopping f. Stopping Problem Analicemos el código paso a paso: public void run() { try { System.out.print("Running "); throw new Exception(); } catch (Exception e) { System.err.print("Problem"); } finally { System.out.print("Stopping"); } } 1. Try: ○ Se imprime "Running " en salida estándar ( System.out ). ○ Se lanza una excepción Exception . 2. Catch: ○ La excepción es capturada. ○ Se imprime "Problem" en salida de error ( System.err ). 3. Finally: ○ Se imprime "Stopping" e
Java.pdf	java/Java.pdf	118	Java	pág 192	Which two options are true about the default constructor? a. The default always invokes the no-arg superclass constructor. b. The compiler creates a default constructor if the class does not have a no-arg constructor deﬁned. c. The default constructor is always public. d. The default constructor is c reated only when the class has no constructors deﬁned. e. The default constructor inherits the arguments of the superclass constructor.
Java.pdf	java/Java.pdf	119	APX	pág 192	¿Cuál es la nomenclatura correcta para un componente de tipo librería? a. TESTCO01 b. TESTRO01-MX-01 c. TESTRO01 d. TESTRO01-01-MX En APX, la nomenclatura estándar para una librería sigue el patrón: TESTRO01 ● TEST → preﬁjo del proyecto ● RO → indica que es librería (RO = Reusable Object / Library) ● 01 → número secuencial del componente
Java.pdf	java/Java.pdf	120	Java	pág 193	boolean x = true; boolean y = false; boolean result = x && y || !x; System.out.println(result); a. Runtime error b. False c. True d. Compilation error Analicemos paso a paso la expresión: boolean x = true; boolean y = false; boolean result = x && y || !x; 1. x && y → true && false → false 2. !x → !true → false 3. x && y || !x → false || false → false
Java.pdf	java/Java.pdf	121	Herramientas/general	pág 194	Which file is used to configure user-specific settings in Maven? a. build.xml b. settings.xml c. user.xml d. pom.xml En Maven, el archivo que se utiliza para conﬁgurar ajustes especíﬁcos del usuario (como repositorios locales, credenciales, proxies, etc.) es: settings.xml ● Se encuentra típicamente en el directorio: ~/.m2/settings.xml (Linux/macOS) o C:\Users\<usuario>\.m2\settings.xml (Windows) ● pom.xml deﬁne el proyecto, sus dependencias y su build, pero no es especíﬁco del usuario .
Java.pdf	java/Java.pdf	122	Herramientas/general	pág 195	¿Qué significa que un cambio en el software sea retrocompatible? a. El cambio puede romper la funcionalidad existente, requiriendo ajustes en el código que depende del software. b. El cambio garantiza que el software siga funcionando sin necesidad de modiﬁcaciones en el código que depende de él. c. El cambio introduce nuevas funcionalidades que no afectan el comportamiento existente del software. d. El cambio corrige errores menores y realiza mejoras de rendimiento. La deﬁnición de retrocompatibilidad (backward compatibility) se reﬁere a que las nuevas versiones de un software siguen funcionando con el código, datos o interfaces existentes sin necesidad de cambios adicionales . Por lo tanto:
Java.pdf	java/Java.pdf	123	Java	pág 195	Given the following classes, which line of code correctly creates an instance of the Dog class? class Animal { // ... } class Dog extends Animal { // ... } a. Dog dog = new Dog(); b. Animal dog = new Dog(); c. Dog dog = new Animal(); d. Animal dog = new Animal(); Analicemos las opciones: ● Dog extiende de Animal . ● Se puede asignar una instancia de subclase a una referencia de superclase , pero no al revés. Opciones: a. Dog dog = new Dog();
Java.pdf	java/Java.pdf	124	Java	pág 196	¿Qué declaraciones inicializan correctamente una variable booleana en Java? a. boolean d = (4 - 14); b. boolean f = "true"; c. boolean c = (7 >= 7); d. boolean e = (10 > 5 && 2 < 1); e. boolean b = (15 = 2); f. boolean a = (3 < 6); En Java, una variable booleana solo puede ser inicializada con un valor booleano literal ( true o false ) o con una expresión que resulte en boolean . Analicemos cada opción: ● a. boolean d = (4 - 14); ❌ Incorrecto, 4 - 14 es un entero, no booleano. ● b. boolean f = "true"; ❌ Incorrecto, "true" es un String , no un booleano literal. ● c. boolean c = (7 >= 7);
Java.pdf	java/Java.pdf	125	APX	pág 197	En APX CLI, ¿cual opcion permite crear un proyecto Maven con una unidad de despliegue de tipo librería? a. apx init dto -u="TEST" (c="001") d="New DTO domain="domain subpackage class name="Example010" -y b. apx init du-online-u="TEST" -n="online-test" d="New Deployment Unit Online" -y c. apx add dto (-c="010") -domain="customer" -d="Test of DTO" -subpackage="" class name="ExampleDTO" -y d. apx init du-lib-u="TEST" (-c="000") d="New Deployment Unit Library" -y e. apx init du-batch-u="TEST" (-n=) "batch-test" -d="New Deployment Unit Batch" -y En APX CLI, para crear un proyecto Maven con una unidad de despliegue de tipo librería , se utiliza la opción que indica explícitamente du-lib (Deployment Unit Library). Analizando las opciones: ● a. Se usa para DTOs → ❌ ● b. du-online → unidad de despliegue online → ❌ ● c. Añadir DTO → ❌ ● d. apx init du-lib-u="TEST" → correcto, crea un Deploym
Java.pdf	java/Java.pdf	126	APX	pág 198	¿Qué es ENTORNO LOCAL APX? a. Ninguna opción es correcta. b. Es un entorno productivo para desplegar los componentes APX. c. Herramienta para gestionar proyectos en Java. d. Es un entorno para que los desarrolladores prueben y depuren sus transacciones y job. e. Herramienta de línea de comandos para crear componentes APX. En APX, el ENTORNO LOCAL se reﬁere al entorno donde los desarrolladores pueden probar y depurar sus transacciones y jobs antes de desplegarlos a entornos de integración o producción.
Java.pdf	java/Java.pdf	126b	APX	pág 199 (sin número propio: va tras la respuesta de la #126)	¿Cuál de las siguientes afirmaciones describe mejor un Step en el contexto de Spring Batch? a. Una clase que gestiona la configuración de la base de datos utilizada por un trabajo por lotes. b. Una interfaz que define los métodos para realizar operaciones CRUD en los datos del trabajo por lotes. c. Un objeto de dominio que encapsula una fase independiente y secuencial de un trabajo por lotes. d. Un componente que se encarga exclusivamente de la validación de datos en un trabajo por lotes.
Java.pdf	java/Java.pdf	127	Java	pág 199	¿Qué métodos de anulación (Override) son válidos para las siguientes clases? class Parent { void display() { System.out.println("Parent"); } } class Child extends Parent { // Override here } a. static void display() { System.out.println("Child"); } b. private void display() { System.out.println("Child"); } c. void display() { System.out.println("InChild"); } d. public void display() { System.out.println("Child"); } Para que un método sea válidamente sobrescrito (override) en Java, se deben cumplir estas reglas: 1. El método debe tener el mismo nombre, tipo de retorno y parámetros . 2. No puede reducir la visibilidad del método (por ejemplo, de public a protected ). 3. No puede ser static ni private , porque esos métodos no son heredables en el sentido de polimorﬁsmo. Analizando las opciones: ● a. static void display() ❌ No se puede sobrescribir un método estático. ● b. private voi
Java.pdf	java/Java.pdf	128	Java	pág 201	Which of the following class declarations is not correct? a. abstract class Person () b. ﬁnal class Person () c. class Person () d. abstract ﬁnal class Person () e. public abstract class Person () Analizando cada declaración en Java: ● a. abstract class Person () ❌ Incorrecto por los paréntesis () . La sintaxis correcta no lleva () . ● b. final class Person () ❌ Igual que arriba, los paréntesis no son válidos en la declaración de clase. ● c. class Person () ❌ Los paréntesis no son válidos al declarar una clase. ● d. abstract final class Person () ❌ Incorrecto por ser abstract y ﬁnal al mismo tiempo (no puede instanciarse ni heredarse) y por los paréntesis. ● e. public abstract class Person () ❌ Nuevamente, los paréntesis no son válidos en la declaración. En realidad, ninguna de estas declaraciones es correcta porque todas incluyen () en la declaración de la clase, lo cual es sintáct
Java.pdf	java/Java.pdf	129	Java	pág 202	Given the following code snippet, what will be the output of the program? String s1 = "text"; String s2 = new String("text"); String s3 = "text"; String s4 = s2.intern(); System.out.println(s1 == s3); System.out.println(s1 == s2); System.out.println(s1 == s4); a. false false true b. true true true c. true false false d. true false true Analicemos el código paso a paso: String s1 = "text"; // String literal → se guarda en el string pool String s2 = new String("text"); // Nueva instancia en heap, diferente del pool String s3 = "text"; // Misma literal que s1 → apunta al pool String s4 = s2.intern(); // Devuelve la referencia del string en el pool Ahora evaluamos las comparaciones con == (compara referencias): 1. s1 == s3 → true , ambos apuntan al mismo objeto en el string pool. 2. s1 == s2 → false , s2 apunta a un objeto diferente en el heap. 3. s1 == s4 → true , s4 es el string inte
Java.pdf	java/Java.pdf	130	Java	pág 203	Which method in java.lang.Object should be overridden if the hashcode() method is overridden? a. clone() b. compareTo() c. copy() d. equals() e. sort() En Java, existe una regla fundamental : si sobrescribes el método hashCode() , también debes sobrescribir equals() . Esto asegura que los objetos que son considerados iguales por equals() tengan el mismo valor de hash, lo cual es esencial para colecciones como HashMap y HashSet .
Java.pdf	java/Java.pdf	131	Java	pág 204	¿Cuál será el resultado de compilar y ejecutar el siguiente fragmento de código en Java? public class StaticBlockTest { static { System.out.println("Static block 1"); } { System.out.println("Instance block 1"); } public StaticBlockTest() { System.out.println("Constructor"); } static { System.out.println("Static block 2"); } { System.out.println("Instance block 2"); } public static void main(String[] args) { new StaticBlockTest(); new StaticBlockTest(); } } Opción a: Static block 1 Static block 2 Instance block 1 Constructor Instance block 2 Instance block 1 Constructor Instance block 2 Opción b: Error de compilación. Opción c: Static block 1 Static block 2 Instance block 1 Instance block 2 Constructor Instance block 1 Instance block 2 Constructor Opción d: Instance block 1 Instance block 2 Constructor Instance block 1 Instance block 2 Constructor Static block 1 Static block 2 a
Java.pdf	java/Java.pdf	132	Herramientas/general	pág 208	¿Cuál es el comando en Bash para cambiar el directorio actual a uno especificado? a. goto b. cd c. move d. sh e. chdir La instrucción correcta para cambiar el directorio en Bash es: cd (change directory). Por ejemplo: cd /home/usuario/documentos Respuesta correcta: b
